Dataset,Model Folder,Model,Loss,Accuracy,Male Accuracy,Female Accuracy
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.7377665456614668,45.44374084472656,59.389857369255154,31.497622820919176
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.9013400566181177,40.9469108581543,4.0808240887480185,77.81299524564183
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_1_best.pth,0.6904473298136292,53.18938446044922,12.995245641838352,93.38351822503962
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_best.pth,0.7107912832885839,50.15848159790039,6.576862123613313,93.74009508716324
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_3_best.pth,0.9613087591014082,30.546751022338867,47.741679873217116,13.351822503961966
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_4_best.pth,0.49501836351849576,83.35974884033203,89.61965134706814,77.09984152139461
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_5_best.pth,0.7807504023689475,29.774168014526367,53.486529318542,6.061806656101426
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.7150077765037065,52.39698791503906,85.34072900158478,19.453248811410457
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.6806039045049724,52.912044525146484,79.63549920760697,26.188589540412043
AAF_Validation,bias_training_data\bias_Unlabeled_FlexMatch,bias_training_data\bias_Unlabeled_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.5695196383539735,79.17987823486328,67.74960380348652,90.61014263074485
AAF_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_1_best.pth,0.693187434964248,53.76386642456055,61.45007923930269,46.07765451664025
AAF_Validation,bias_training_data\bias_Severe_Black_Bias_FlexMatch,bias_training_data\bias_Severe_Black_Bias_FlexMatch\FlexMatch_2_best.pth,0.672902088252187,57.725833892822266,94.25515055467511,21.19651347068146
